Date,Invoice No,Item,Qty,Rate,Amount,Customer,Payment Method,Depot,Balance Owing
17-Jul-2026,INV9142,Blocks 6in (piece),212,380,80560,Eng. Okafor,Cash,Ojo Branch,44139
18/05/2026,INV3342,16mm Iron Rod (length),36,14500,522000,Site 4 Contractors,,,239900
23/07/2026,INV9572,12mm Iron Rod (length),12,8500,102000,Grace Ventures,pos,Ojo Branch,0
04/07/2026,INV7600,Nails 3in (kg),6,"N1,800",10800,Chief Nwosu,Cash,Ikorodu Branch,4201
10-Jun-2026,INV4896,Nails 3in (kg),7,1800,12600,Zenith Builders,Credit,Main Yard,0
11/07/2026,INV1995,Paint Emulsion (20L),2,28000,56000,Kola & Sons,pos,Main Yard,0
02/05/2026,INV3204,Paint Emulsion (20L),6,28000,168000,Alhaji Bello,Transfer,Main Yard,0
08/05/2026,INV7596,Nails 3in (kg),40,1653,66120,Walk-in,POS,Main Yard,0
04/06/2026,INV7517,Nails 3in (kg),40,1687,67480,Mrs Adebayo,cash,Main Yard,0
12/06/2026,INV2366,Nails 3in (kg),39,1636,63804,Site 12 Rehab,POS,Main Yard,0
20/06/2026,INV2491, PAINT EMULSION (20L) ,3,28000,84000,Alhaji Bello,part payment,Main Yard,0
15/07/2026,INV1390,10mm Iron Rod (length),32,6200,198400,Kola & Sons,part payment,Main Yard,0
05-Jun-2026,INV4428,Sharp Sand (trip),2,85000,170000,Zenith Builders,Part Payment,Main Yard,0
04-Jun-2026,INV4435,Stepping Tiles (carton),22,7500,165000,Kola & Sons,transfer,Ikorodu Branch,0
08/06/2026,INV1017,12mm Iron Rod (length),64,7665,490560,Eng. Okafor,pos,Ikorodu Branch,0
07/07/2026,INV1225,Blocks 9in (piece),304,450,136800,Zenith Builders,Cash,Main Yard,0
15/05/2026,INV5764,Stepping Tiles (carton),26,7500,195000,Grace Ventures,pos,Main Yard,41088
01/05/2026,INV3397,Sharp Sand (trip),3,79164,237492,Zenith Builders,transfer,Ikorodu Branch,0
01/05/2026,INV2476,10mm Iron Rod (length),54,6200,334800,Mrs Adebayo,transfer,Ikorodu Branch,0
2026-06-29,INV2856,Aluminium Roofing (m2),143,6448,922064,Alhaji Bello,,,0
21/07/2026,INV2357,16mm Iron Rod (length),51,13757,701607,Site 12 Rehab,Part Payment,Main Yard,0
2026-06-18,INV9286,Binding Wire (roll),4,12000,48000,Site 12 Rehab,pos,Main Yard,0
2026-07-17,INV9473,Granite 3/4 (trip),3,132827,398481,Site 4 Contractors,Part Payment,Main Yard,0
06/06/2026,INV7880,Nails 3in (kg),6,"N1,800",10800,Site 12 Rehab,Part Payment,Main Yard,0
23/06/2026,INV8201,12mm Iron Rod (length),47,8500,399500,Mrs Adebayo,Transfer,Main Yard,0
28/07/2026,INV7892,Stepping Tiles (carton),35,7500,262500,Eng. Okafor,Transfer,Ojo Branch,0
20/07/2026,INV4311,10mm Iron Rod (length),5,6200,31000,Grace Ventures,Cash,Main Yard,0
31/05/2026,INV1731,Blocks 6in (piece),792,339,268488,Walk-in,pos,Main Yard,0
15-Jul-2026,INV1290,Sharp Sand (trip),2,85000,170000,Chief Nwosu,cash,Main Yard,0
07/07/2026,INV8385,Granite 3/4 (trip),1,145000,145000,Walk-in,Credit,Main Yard,0
10-May-2026,INV4040,16mm Iron Rod (length),53,13425,711525,Site 4 Contractors,Credit,Main Yard,0
2026-05-20,INV9764,12mm Iron Rod (length),32,8500,272000,Walk-in,Transfer,Main Yard,0
22-Jul-2026,INV9006,Sharp Sand (trip),2,85000,170000,Alhaji Bello,Transfer,Main Yard,0
20/06/2026,INV9301,Nails 3in (kg),15,1800,27000,Kola & Sons,part payment,Ojo Branch,0
03/06/2026,INV7327,Blocks 6in (piece),669,354,236826,Site 12 Rehab,credit,Main Yard,0
13/05/2026,INV3395, PVC PIPE 4IN (LENGTH) ,39,3890,151710,Kola & Sons,transfer,Main Yard,0
17-Jul-2026,INV3576,Aluminium Roofing (m2),110,6428,707080,Alhaji Bello,transfer,Main Yard,0
10/06/2026,INV8556, PAINT EMULSION (20L) ,8,28000,224000,Eng. Okafor,Part Payment,Main Yard,0
09-Jun-2026,INV3903,12mm Iron Rod (length),8,8500,68000,Eng. Okafor,cash,Ikorodu Branch,0
16/05/2026,INV3142,16mm Iron Rod (length),52,12968,674336,Mrs Adebayo,cash,Main Yard,173423
24/07/2026,INV8705,16mm Iron Rod (length),53,13191,699123,Alhaji Bello,cash,Main Yard,0
06/06/2026,INV5346, BUA CEMENT (BAG) ,72,9200,662400,Site 12 Rehab,credit,Ikorodu Branch,0
08/07/2026,INV8521,Paint Emulsion (20L),12,26561,318732,Alhaji Bello,credit,Main Yard,102943
18/05/2026,INV7765,Binding Wire (roll),1,12000,12000,Site 12 Rehab,Transfer,Main Yard,0
04/05/2026,INV8430,Blocks 9in (piece),497,450,223650,Alhaji Bello,,,0
12/05/2026,INV9166,Paint Emulsion (20L),6,"N28,000",168000,Grace Ventures,Cash,Main Yard,0
29-May-2026,INV8898,Granite 3/4 (trip),2,145000,290000,Site 12 Rehab,cash,Ikorodu Branch,0
25/07/2026,INV8958,Paint Emulsion (20L),15,25539,383085,Eng. Okafor,Part Payment,Ikorodu Branch,0
16/07/2026,INV6599,Nails 3in (kg),12,1800,21600,Alhaji Bello,transfer,Main Yard,0
28-May-2026,INV4255,Blocks 9in (piece),720,402,289440,Chief Nwosu,,,137498
25/07/2026,INV3570,Blocks 6in (piece),259,380,98420,Walk-in,Credit,Main Yard,32616
09/06/2026,INV5906,Blocks 9in (piece),638,403,257114,Site 12 Rehab,Cash,Main Yard,0
05/05/2026,INV7645,Blocks 9in (piece),263,450,118350,Walk-in,POS,Main Yard,0
13/07/2026,INV2130,Aluminium Roofing (m2),26,6800,176800,Grace Ventures,Part Payment,Ikorodu Branch,78263
23-Jul-2026,INV5771,Stepping Tiles (carton),50,6916,345800,Eng. Okafor,transfer,Ikorodu Branch,0
25/07/2026,INV3910,Blocks 9in (piece),777,427,331779,Zenith Builders,POS,Main Yard,69136
29/06/2026,INV3157,PVC Pipe 4in (length),40,3817,152680,Grace Ventures,part payment,Ikorodu Branch,70489
26/05/2026,INV7083,Paint Emulsion (20L),14,25887,362418,Grace Ventures,Transfer,Ojo Branch,0
23/07/2026,INV5482,Aluminium Roofing (m2),84,6800,571200,Eng. Okafor,part payment,Main Yard,0
2026-05-11,INV6412,BUA Cement (bag),154,8180,1259720,Kola & Sons,credit,Main Yard,0
28/05/2026,INV5696,Paint Emulsion (20L),13,24723,321399,Grace Ventures,Transfer,Ojo Branch,0
2026-05-16,INV3489,Stepping Tiles (carton),13,7500,97500,Walk-in,part payment,Ikorodu Branch,0
03/06/2026,INV7150, PAINT EMULSION (20L) ,15,24751,371265,Chief Nwosu,cash,Ikorodu Branch,0
08/06/2026,INV4562,12mm Iron Rod (length),80,7525,602000,Kola & Sons,POS,Main Yard,0
12/05/2026,INV8424, PAINT EMULSION (20L) ,9,28000,252000,Mrs Adebayo,part payment,Main Yard,0
2026-07-17,INV9473,Granite 3/4 (trip),3,132827,398481,Site 4 Contractors,Part Payment,Main Yard,0
23/07/2026,INV3048,BUA Cement (bag),171,8352,1428192,Grace Ventures,credit,Main Yard,0
19/05/2026,INV5489,12mm Iron Rod (length),20,8500,170000,Alhaji Bello,credit,Ojo Branch,0
27/07/2026,INV1847,BUA Cement (bag),121,9200,1113200,Kola & Sons,Credit,Main Yard,0
09-Jun-2026,INV5803, BUA CEMENT (BAG) ,157,8419,1321783,Kola & Sons,POS,Ojo Branch,0
04/06/2026,INV1339,Nails 3in (kg),13,1800,23400,Chief Nwosu,cash,Main Yard,0
27/06/2026,INV9756,Stepping Tiles (carton),58,7117,412786,Kola & Sons,credit,Ojo Branch,0
22/05/2026,INV7562,Granite 3/4 (trip),3,127883,383649,Zenith Builders,cash,Main Yard,189735
13/07/2026,INV6685,Paint Emulsion (20L),12,24878,298536,Site 12 Rehab,Transfer,Ojo Branch,172176
09-Jun-2026,INV1577,Nails 3in (kg),40,1626,65040,Site 12 Rehab,POS,Ikorodu Branch,0
14/07/2026,INV8203,Blocks 9in (piece),301,450,135450,Kola & Sons,Credit,Ojo Branch,0
26/05/2026,INV5331, BUA CEMENT (BAG) ,173,8680,1501640,Alhaji Bello,pos,Main Yard,0
02/05/2026,INV2485,Sharp Sand (trip),3,74884,224652,Zenith Builders,credit,Main Yard,0
23/05/2026,INV5465,Dangote Cement (bag),167,8474,1415158,Chief Nwosu,Part Payment,Main Yard,0
20/06/2026,INV7397,Granite 3/4 (trip),2,145000,290000,Site 4 Contractors,POS,Ikorodu Branch,0
01/07/2026,INV4516,Paint Emulsion (20L),6,28000,168000,Site 12 Rehab,POS,Main Yard,0
11/06/2026,INV9531,Sharp Sand (trip),1,85000,85000,Site 12 Rehab,credit,Ikorodu Branch,0
27/05/2026,INV7276,PVC Pipe 4in (length),49,3736,183064,Walk-in,Credit,Main Yard,72640
2026-05-14,INV7130,PVC Pipe 4in (length),12,4200,50400,Zenith Builders,Transfer,Ojo Branch,20017
06/06/2026,INV1818,BUA Cement (bag),140,8606,1204840,Alhaji Bello,Credit,Ojo Branch,0
26/05/2026,INV6590,Stepping Tiles (carton),30,7500,225000,Kola & Sons,cash,Main Yard,0
22/05/2026,INV6069,BUA Cement (bag),177,8260,1462020,Site 12 Rehab,cash,Main Yard,0
15/05/2026,INV2652,Blocks 9in (piece),606,410,248460,Grace Ventures,credit,Ojo Branch,0
27/05/2026,INV9182,BUA Cement (bag),128,8644,1106432,Grace Ventures,POS,Main Yard,0
21/05/2026,INV5918,Paint Emulsion (20L),9,28000,252000,Mrs Adebayo,part payment,Main Yard,0
28-May-2026,INV2764,Blocks 9in (piece),481,450,216450,Alhaji Bello,part payment,Main Yard,0
2026-06-16,INV7391,Paint Emulsion (20L),13,25758,334854,Eng. Okafor,Credit,Main Yard,0
08/05/2026,INV2490,Blocks 6in (piece),292,380,110960,Grace Ventures,,,0
15/05/2026,INV9980, ALUMINIUM ROOFING (M2) ,120,5985,718200,Site 12 Rehab,Part Payment,Main Yard,0
15-Jul-2026,INV3788,Dangote Cement (bag),40,9500,380000,Site 4 Contractors,Credit,Ojo Branch,0
19/05/2026,INV2830,BUA Cement (bag),64,9200,588800,Kola & Sons,Part Payment,Ojo Branch,0
23/05/2026,INV6821,Sharp Sand (trip),1,85000,85000,Site 12 Rehab,credit,Main Yard,0
06-Jun-2026,INV1759,Binding Wire (roll),2,12000,24000,Kola & Sons,Cash,Ikorodu Branch,0
25/07/2026,INV8432,Blocks 6in (piece),403,380,153140,Site 12 Rehab,Part Payment,Main Yard,0
07/06/2026,INV4538,Paint Emulsion (20L),15,25059,375885,Mrs Adebayo,transfer,Ojo Branch,0
10/06/2026,INV9952,PVC Pipe 4in (length),16,4200,67200,Walk-in,part payment,Ojo Branch,0
17/06/2026,INV4351,Dangote Cement (bag),86,9500,817000,Walk-in,Credit,Ojo Branch,172741
16/07/2026,INV1639,Aluminium Roofing (m2),30,6800,204000,Grace Ventures,credit,Ojo Branch,0
18/06/2026,INV3005,Paint Emulsion (20L),13,25828,335764,Mrs Adebayo,Credit,Ikorodu Branch,0
22/07/2026,INV7156,Granite 3/4 (trip),2,145000,290000,Eng. Okafor,Transfer,Main Yard,0
17/07/2026,INV5408, PAINT EMULSION (20L) ,2,28000,56000,Chief Nwosu,Part Payment,Main Yard,0
10/06/2026,INV4934,Sharp Sand (trip),2,85000,170000,Alhaji Bello,pos,Main Yard,0
21/05/2026,INV6840, SHARP SAND (TRIP) ,3,81530,244590,Site 4 Contractors,credit,Main Yard,0
2026-06-20,INV1609,Paint Emulsion (20L),2,28000,56000,Chief Nwosu,Cash,Ikorodu Branch,0
06/07/2026,INV9225,Nails 3in (kg),29,1627,47183,Mrs Adebayo,pos,Ojo Branch,0
24/07/2026,INV7500,10mm Iron Rod (length),89,5806,516734,Chief Nwosu,Cash,Main Yard,0
15/06/2026,INV7869,Sharp Sand (trip),2,85000,170000,Site 4 Contractors,Part Payment,Main Yard,0
01/06/2026,INV3183,Dangote Cement (bag),142,8679,1232418,Chief Nwosu,Transfer,Main Yard,0
25/06/2026,INV7875,PVC Pipe 4in (length),50,3794,189700,Mrs Adebayo,transfer,Ojo Branch,0
12/05/2026,INV3958,Stepping Tiles (carton),43,6737,289691,Zenith Builders,cash,Main Yard,0
20/06/2026,INV3509,Blocks 6in (piece),598,343,205114,Site 12 Rehab,Transfer,Main Yard,0
08/06/2026,INV4280,Binding Wire (roll),4,12000,48000,Site 12 Rehab,part payment,Ikorodu Branch,0
17/07/2026,INV4749,10mm Iron Rod (length),80,5581,446480,Kola & Sons,part payment,Ojo Branch,0
16-May-2026,INV6852,Paint Emulsion (20L),6,28000,168000,Alhaji Bello,cash,Ojo Branch,0
26-May-2026,INV7228,12mm Iron Rod (length),51,8500,433500,Eng. Okafor,Part Payment,Ikorodu Branch,0
14/05/2026,INV5883,Blocks 9in (piece),745,413,307685,Site 4 Contractors,Cash,Ikorodu Branch,0
17/05/2026,INV9999,Nails 3in (kg),8,1800,14400,Site 4 Contractors,cash,Main Yard,4802
13/06/2026,INV2261,Aluminium Roofing (m2),55,6800,374000,Zenith Builders,transfer,Main Yard,119425
16/05/2026,INV2092,PVC Pipe 4in (length),45,3847,173115,Walk-in,pos,Main Yard,0
26/05/2026,INV8278,Paint Emulsion (20L),15,26329,394935,Site 12 Rehab,Cash,Ojo Branch,0
16/07/2026,INV6599,Nails 3in (kg),12,1800,21600,Alhaji Bello,transfer,Main Yard,0
06/07/2026,INV3880,BUA Cement (bag),46,"N9,200",423200,Eng. Okafor,Cash,Ojo Branch,0
09/05/2026,INV4246,Stepping Tiles (carton),42,7500,315000,Site 12 Rehab,Cash,Ikorodu Branch,0
16/05/2026,INV3860,Aluminium Roofing (m2),72,6800,489600,Chief Nwosu,Transfer,Ikorodu Branch,0
08/07/2026,INV1271,12mm Iron Rod (length),14,8500,119000,Site 4 Contractors,POS,Main Yard,0
29/07/2026,INV2380,16mm Iron Rod (length),44,12822,564168,Mrs Adebayo,Cash,Ojo Branch,0
04/06/2026,INV8562,Stepping Tiles (carton),41,7500,307500,Alhaji Bello,pos,Ikorodu Branch,0
10/06/2026,INV8313,16mm Iron Rod (length),21,14500,304500,Grace Ventures,POS,Ikorodu Branch,0
26/05/2026,INV1642,Sharp Sand (trip),1,85000,85000,Zenith Builders,POS,Main Yard,0
16/05/2026,INV3075,Blocks 9in (piece),580,431,249980,Grace Ventures,Transfer,Main Yard,0
19/05/2026,INV4691,10mm Iron Rod (length),78,5793,451854,Walk-in,transfer,Main Yard,118548
2026-07-17,INV9725,PVC Pipe 4in (length),35,3994,139790,Chief Nwosu,credit,Ikorodu Branch,0
11/06/2026,INV3087,Stepping Tiles (carton),50,7142,357100,Eng. Okafor,POS,Main Yard,0
28/07/2026,INV4674,BUA Cement (bag),45,9200,414000,Alhaji Bello,part payment,Main Yard,160898
06/05/2026,INV8466,BUA Cement (bag),22,9200,202400,Alhaji Bello,Part Payment,Ikorodu Branch,69892
14/05/2026,INV7947,Dangote Cement (bag),63,9500,598500,Eng. Okafor,POS,Ikorodu Branch,0
26/06/2026,INV5755,Paint Emulsion (20L),13,25166,327158,Walk-in,Credit,Main Yard,0
06/07/2026,INV4106, PAINT EMULSION (20L) ,12,25338,304056,Zenith Builders,,,0
04/06/2026,INV7929,Sharp Sand (trip),3,75645,226935,Alhaji Bello,Part Payment,Ikorodu Branch,0
04/06/2026,INV6862, ALUMINIUM ROOFING (M2) ,88,6800,598400,Walk-in,part payment,Ikorodu Branch,194027
18/06/2026,INV7430,Stepping Tiles (carton),19,"N7,500",142500,Zenith Builders,pos,Main Yard,0
2026-05-04,INV6076,Paint Emulsion (20L),7,28000,196000,Walk-in,part payment,Main Yard,0
15/06/2026,INV6700,12mm Iron Rod (length),52,7927,412204,Mrs Adebayo,Cash,Ojo Branch,0
13/05/2026,INV3204,Blocks 9in (piece),143,450,64350,Grace Ventures,POS,Main Yard,23419
21/05/2026,INV4024,12mm Iron Rod (length),71,7848,557208,Walk-in,,,0
07/05/2026,INV6925,Paint Emulsion (20L),12,26644,319728,Alhaji Bello,Part Payment,Ojo Branch,0
06-Jun-2026,INV2642,16mm Iron Rod (length),17,14500,246500,Chief Nwosu,Credit,Main Yard,0
20/06/2026,INV3836,Aluminium Roofing (m2),91,6800,618800,Chief Nwosu,pos,Main Yard,0
14/07/2026,INV6803,Binding Wire (roll),3,12000,36000,Site 4 Contractors,POS,Main Yard,0
19/05/2026,INV4465,Blocks 9in (piece),122,450,54900,Alhaji Bello,Credit,Ojo Branch,0
2026-05-23,INV6136,10mm Iron Rod (length),26,6200,161200,Chief Nwosu,credit,Main Yard,0
19/06/2026,INV6842, 12MM IRON ROD (LENGTH) ,6,8500,510000,Eng. Okafor,credit,Ikorodu Branch,0
17/06/2026,INV1905,Paint Emulsion (20L),12,25287,303444,Eng. Okafor,Transfer,Main Yard,0
06/07/2026,INV7028,Sharp Sand (trip),2,85000,170000,Zenith Builders,POS,Main Yard,36585
28/05/2026,INV7241,Dangote Cement (bag),17,9500,161500,Alhaji Bello,cash,Main Yard,0
23-May-2026,INV4525,Nails 3in (kg),37,1656,61272,Grace Ventures,part payment,Main Yard,0
15/05/2026,INV6972, DANGOTE CEMENT (BAG) ,63,9500,598500,Site 12 Rehab,part payment,Main Yard,0
18/06/2026,INV8856,Stepping Tiles (carton),40,7500,300000,Zenith Builders,,,0
30/06/2026,INV9729,Binding Wire (roll),3,12000,36000,Zenith Builders,,,0
26/06/2026,INV1326,Granite 3/4 (trip),1,145000,145000,Site 12 Rehab,POS,Ojo Branch,0
13/06/2026,INV7669,Sharp Sand (trip),3,79100,237300,Grace Ventures,POS,Main Yard,0
19/05/2026,INV2367,PVC Pipe 4in (length),9,4200,37800,Eng. Okafor,credit,Ojo Branch,0
04-Jun-2026,INV8322,Granite 3/4 (trip),1,145000,145000,Mrs Adebayo,,,0
24/05/2026,INV7596, 16MM IRON ROD (LENGTH) ,8,14500,116000,Site 4 Contractors,credit,Ojo Branch,0
20/06/2026,INV3442,Aluminium Roofing (m2),35,6800,238000,Grace Ventures,transfer,Main Yard,0
17/07/2026,INV1807,PVC Pipe 4in (length),10,4200,42000,Chief Nwosu,Credit,Ikorodu Branch,0
27-Jun-2026,INV7452,Blocks 9in (piece),126,450,56700,Site 12 Rehab,part payment,Main Yard,18781
2026-05-30,INV1667,Dangote Cement (bag),195,8676,1691820,Mrs Adebayo,,,0
04/06/2026,INV5059,Sharp Sand (trip),1,85000,85000,Site 12 Rehab,pos,Main Yard,0
26/06/2026,INV7368,Sharp Sand (trip),3,78022,234066,Eng. Okafor,transfer,Main Yard,0
15/05/2026,INV7010,Granite 3/4 (trip),3,131006,393018,Site 12 Rehab,Credit,Main Yard,0
24/07/2026,INV6795,10mm Iron Rod (length),100,5637,563700,Site 12 Rehab,Credit,Main Yard,0
02/06/2026,INV9190, SHARP SAND (TRIP) ,3,78865,236595,Alhaji Bello,part payment,Ojo Branch,0
25/07/2026,INV1152,Binding Wire (roll),3,12000,36000,Walk-in,Part Payment,Ikorodu Branch,0
2026-07-27,INV1201,Binding Wire (roll),10,11319,113190,Grace Ventures,part payment,Main Yard,0
02/07/2026,INV3486,Granite 3/4 (trip),3,133090,399270,Chief Nwosu,credit,Ikorodu Branch,0
25/07/2026,INV8397,Granite 3/4 (trip),1,145000,145000,Zenith Builders,Part Payment,Main Yard,0
03-Jun-2026,INV5507,Blocks 9in (piece),487,450,219150,Kola & Sons,Credit,Main Yard,0
2026-05-22,INV4156,Blocks 6in (piece),427,380,162260,Mrs Adebayo,Credit,Main Yard,0
08/07/2026,INV4335,Sharp Sand (trip),1,85000,85000,Mrs Adebayo,Transfer,Main Yard,0
12-May-2026,INV2209,BUA Cement (bag),122,9200,1122400,Alhaji Bello,transfer,Ikorodu Branch,0
18/07/2026,INV6770,Blocks 9in (piece),251,450,112950,Walk-in,part payment,Ojo Branch,26981
08-May-2026,INV3492,Nails 3in (kg),18,1800,32400,Kola & Sons,POS,Main Yard,0
16/05/2026,INV1154,Binding Wire (roll),3,12000,36000,Alhaji Bello,credit,Main Yard,0
16/06/2026,INV8823,Blocks 9in (piece),373,450,167850,Grace Ventures,Credit,Ikorodu Branch,53308
05/07/2026,INV9539, BINDING WIRE (ROLL) ,10,10867,108670,Site 12 Rehab,pos,Main Yard,0
16/07/2026,INV9029,Nails 3in (kg),30,1666,49980,Grace Ventures,part payment,Main Yard,0
21/07/2026,INV9122,Binding Wire (roll),5,12000,60000,Site 4 Contractors,transfer,Main Yard,0
21/07/2026,INV5748,Nails 3in (kg),34,1617,54978,Zenith Builders,credit,Ojo Branch,0
03-Jun-2026,INV9451,Granite 3/4 (trip),3,138009,414027,Alhaji Bello,pos,Ikorodu Branch,0
13/05/2026,INV4959,10mm Iron Rod (length),20,6200,124000,Site 4 Contractors,Cash,Main Yard,0
01/05/2026,INV4252,Sharp Sand (trip),2,85000,170000,Zenith Builders,Part Payment,Main Yard,0
2026-07-14,INV2836,Blocks 6in (piece),384,380,145920,Alhaji Bello,Transfer,Main Yard,0
28/07/2026,INV7726,Blocks 6in (piece),256,380,97280,Chief Nwosu,pos,Ojo Branch,0
04/05/2026,INV8211,Paint Emulsion (20L),12,25800,309600,Grace Ventures,pos,Main Yard,0
13/07/2026,INV2040, DANGOTE CEMENT (BAG) ,112,9500,1064000,Chief Nwosu,Transfer,Main Yard,0
11-Jul-2026,INV3594,Granite 3/4 (trip),3,138602,415806,Eng. Okafor,Credit,Ojo Branch,0
30/05/2026,INV1796,Stepping Tiles (carton),13,7500,97500,Eng. Okafor,credit,Main Yard,20949
15-Jun-2026,INV9115,PVC Pipe 4in (length),10,4200,42000,Site 4 Contractors,pos,Main Yard,0
25/05/2026,INV7817,Aluminium Roofing (m2),107,6290,673030,Kola & Sons,part payment,Main Yard,0
10/06/2026,INV3910,Granite 3/4 (trip),1,145000,145000,Site 4 Contractors,transfer,Main Yard,60465
21-May-2026,INV1852,BUA Cement (bag),131,8813,1154503,Kola & Sons,Transfer,Ojo Branch,0
01/07/2026,INV7299,10mm Iron Rod (length),51,6200,316200,Zenith Builders,Part Payment,Main Yard,0
29/07/2026,INV8369,Blocks 9in (piece),400,450,180000,Walk-in,cash,Main Yard,0
23/06/2026,INV8210,Nails 3in (kg),40,1632,65280,Zenith Builders,POS,Main Yard,0
27/06/2026,INV9131,Nails 3in (kg),16,1800,28800,Zenith Builders,credit,Ojo Branch,0
15/05/2026,INV9417,Binding Wire (roll),6,12000,72000,Site 4 Contractors,Transfer,Main Yard,0
13/07/2026,INV9292,Sharp Sand (trip),3,77127,231381,Site 12 Rehab,,,0
04/05/2026,INV3312,Nails 3in (kg),18,1800,32400,Site 12 Rehab,part payment,Ikorodu Branch,0
27/07/2026,INV3232,Blocks 6in (piece),674,352,237248,Alhaji Bello,transfer,Ikorodu Branch,0
15/06/2026,INV6613,Nails 3in (kg),28,1681,47068,Mrs Adebayo,POS,Main Yard,0
11/05/2026,INV3845,12mm Iron Rod (length),72,7742,557424,Eng. Okafor,part payment,Main Yard,0
10/06/2026,INV5193,Sharp Sand (trip),2,85000,170000,Chief Nwosu,part payment,Ojo Branch,0
02/05/2026,INV7905, PAINT EMULSION (20L) ,8,28000,224000,Site 4 Contractors,transfer,Ikorodu Branch,0
11/06/2026,INV7637,Dangote Cement (bag),136,9106,1238416,Walk-in,credit,Main Yard,662484
23/05/2026,INV1828,Dangote Cement (bag),31,9500,294500,Kola & Sons,transfer,Main Yard,0
16/07/2026,INV1486,BUA Cement (bag),182,8489,1544998,Chief Nwosu,Part Payment,Main Yard,0
10-Jul-2026,INV6937,10mm Iron Rod (length),10,6200,62000,Mrs Adebayo,cash,Main Yard,0
12/05/2026,INV6802,Paint Emulsion (20L),12,26648,319776,Alhaji Bello,cash,Ikorodu Branch,0
27-Jun-2026,INV8869,Aluminium Roofing (m2),122,6484,791048,Site 4 Contractors,Transfer,Main Yard,0
18/07/2026,INV5186,10mm Iron Rod (length),77,"N5,883",452991,Mrs Adebayo,,,0
05/05/2026,INV6858,PVC Pipe 4in (length),48,3964,190272,Walk-in,Transfer,Ikorodu Branch,0
19/06/2026,INV3111,Binding Wire (roll),2,12000,24000,Eng. Okafor,credit,Ojo Branch,11693
